q1_deg,q2_deg,q3_deg
-2.6023,11.3640,14.4727
-2.7481,11.5357,14.4216
-2.7481,11.6993,14.3806
-2.7481,11.8663,14.3386
-2.7481,12.0302,14.2968
-2.7481,12.1976,14.2537
-2.8910,12.3672,14.2003
-2.8910,12.5351,14.1558
-2.8910,12.6998,14.1119
-2.8910,12.8680,14.0665
-2.8910,13.0331,14.0215
-3.0367,13.2072,13.9638
-3.0367,13.3728,13.9174
-3.0367,13.5418,13.8698
-3.1795,13.7132,13.8110
-3.1795,13.8827,13.7621
-3.1795,14.0489,13.7138
-3.1795,14.2186,13.6640
-3.3252,14.3910,13.6023
-3.3251,14.5612,13.5511
-3.3251,14.7281,13.5007
-3.4679,14.9045,13.4360
-3.4679,15.0718,13.3843
-3.4679,15.2426,13.3312
-3.6135,15.4165,13.2651
-3.6134,15.5876,13.2106
-3.7561,15.7619,13.1432
-3.7561,15.9334,13.0877
-3.7561,16.1050,13.0318
-3.9016,16.2800,12.9620
-3.9015,16.4520,12.9048
-4.0441,16.6275,12.8336
-4.0441,16.7997,12.7753
-4.0441,16.9687,12.7179
-4.1895,17.1483,12.6431
-4.1894,17.3176,12.5843
-4.3319,17.4975,12.5082
-4.3319,17.6671,12.4484
-4.4772,17.8477,12.3703
-4.4771,18.0176,12.3094
-4.6195,18.1984,12.2300
-4.6195,18.3686,12.1681
-4.7646,18.5500,12.0867
-4.9068,18.7284,12.0056
-4.9068,18.9023,11.9408
-5.0518,19.0811,11.8580
-5.0518,19.2553,11.7921
-5.1939,19.4344,11.7081
-5.3388,19.6175,11.6210
-5.3388,19.7886,11.5548
-5.4808,19.9718,11.4668
-5.6255,20.1522,11.3784
-5.6255,20.3270,11.3093
-5.7674,20.5075,11.2199
-5.9119,20.6920,11.1274
-6.0536,20.8732,11.0357
-6.0536,21.0485,10.9644
-6.1981,21.2301,10.8709
-6.3396,21.4154,10.7751
-6.4839,21.5977,10.6792
-6.4838,21.7734,10.6058
-6.6253,21.9558,10.5090
-6.7694,22.1421,10.4090
-6.9106,22.3251,10.3098
-7.0545,22.5121,10.2076
-7.1956,22.6956,10.1063
-7.3393,22.8831,10.0020
-7.4802,23.0671,9.8986
-7.6238,23.2551,9.7921
-7.6237,23.4280,9.7154
-7.7644,23.6159,9.6082
-7.9078,23.6281,9.5777
-8.0483,23.8131,9.4703
-8.1915,24.0021,9.3596
-8.3318,24.1876,9.2498
-8.4748,24.3770,9.1369
-8.6149,24.5630,9.0251
-8.7576,24.7529,8.9100
-8.8975,24.9393,8.7961
-9.0400,25.1297,8.6789
-9.1797,25.1432,8.6442
-9.3220,25.3305,8.5272
-9.4614,25.5213,8.4080
-9.6035,25.7090,8.2887
-9.7427,25.9002,8.1674
-9.8846,25.9148,8.1293
-10.0236,26.1029,8.0083
-10.1652,26.2949,7.8836
-10.3039,26.3099,7.8447
-10.4453,26.4988,7.7203
-10.5837,26.6911,7.5937
-10.7248,26.7069,7.5523
-10.8631,26.8961,7.4261
-11.0039,27.0893,7.2961
-11.1419,27.1053,7.2539
-11.2825,27.2954,7.1243
-11.4201,27.3118,7.0811
-11.5604,27.5057,6.9481
-11.6979,27.6960,6.8164
-11.8379,27.7132,6.7707
-11.9750,27.9074,6.6359
-12.1148,27.9249,6.5892
-12.2516,28.1160,6.4546
-12.3911,28.1339,6.4068
-12.5277,28.3287,6.2688
-12.6668,28.3471,6.2199
-12.8031,28.5388,6.0822
-12.9420,28.5575,6.0322
-13.0779,28.7530,5.8911
-13.2165,28.7721,5.8400
-13.3522,28.7910,5.7896
-13.4904,28.9839,5.6473
-13.6258,29.0032,5.5956
-13.7637,29.0230,5.5426
-13.8987,29.2195,5.3973
-14.0363,29.2397,5.3430
-14.1738,29.4335,5.1968
-14.3083,29.4537,5.1425
-14.4454,29.4745,5.0868
-14.5797,29.6718,4.9378
-14.7164,29.6930,4.8808
-14.8503,29.7140,4.8246
-14.9868,29.9087,4.6742
-15.1203,29.9301,4.6167
-15.2564,29.9521,4.5577
-15.3897,30.1503,4.4045
-15.5254,30.1726,4.3443
-15.6583,30.1948,4.2849
-15.7936,30.2176,4.2238
-15.9262,30.4130,4.0698
-16.0612,30.4362,4.0074
-16.1934,30.4591,3.9459
-16.3280,30.4828,3.8826
-16.4599,30.6822,3.7241
-16.5942,30.7062,3.6595
-16.7256,30.7299,3.5959
-16.8595,30.7544,3.5304
-16.9906,30.7786,3.4657
-17.1242,30.9758,3.3047
-17.2549,31.0003,3.2387
-17.3880,31.0256,3.1711
-17.5184,31.0506,3.1043
-17.6512,31.0763,3.0356
-17.7811,31.1017,2.9677
-17.9135,31.1279,2.8979
-18.0431,31.3291,2.7321
-18.1751,31.3556,2.6610
-18.3043,31.3818,2.5910
-18.4359,31.4088,2.5190
-18.5647,31.4355,2.4479
-18.6959,31.4630,2.3749
-18.8243,31.4901,2.3028
-18.9551,31.5180,2.2287
-19.0832,31.5456,2.1554
-19.2135,31.5739,2.0803
-19.3412,31.6019,2.0060
-19.4712,31.6307,1.9297
-19.5984,31.8303,1.7589
-19.7279,31.8595,1.6813
-19.8548,31.8883,1.6049
-19.9839,31.9180,1.5264
-20.1103,31.9473,1.4489
-20.2390,31.9774,1.3694
-20.3650,32.0072,1.2909
-20.4933,32.0378,1.2102
-20.6189,31.8974,1.2266
-20.7468,31.9287,1.1446
-20.8720,31.9594,1.0639
-20.9994,31.9910,0.9811
-21.1241,32.0223,0.8994
-21.2512,32.0543,0.8155
-21.3755,32.0860,0.7326
-21.5021,32.1186,0.6477
-21.6260,32.1507,0.5638
-21.7521,32.1838,0.4777
-21.8756,32.2164,0.3927
-22.0013,32.2499,0.3056
-22.1243,32.1101,0.3168
-22.2496,32.1443,0.2283
-22.3722,32.1780,0.1412
-22.4970,32.2126,0.0519
-22.6192,32.2467,-0.0363
-22.7435,32.2817,-0.1267
-22.8653,32.3163,-0.2160
-22.9892,32.1831,-0.2127
-23.1105,32.2184,-0.3032
-23.2340,32.2545,-0.3959
-23.3548,32.2902,-0.4873
-23.4778,32.3268,-0.5810
-23.5982,32.1913,-0.5772
-23.7208,32.2287,-0.6723
-23.8407,32.2654,-0.7659
-23.9629,32.3031,-0.8618
-24.0824,32.1726,-0.8626
-24.2040,32.2110,-0.9599
-24.3231,32.2488,-1.0556
-24.4443,32.1169,-1.0586
-24.5629,32.1554,-1.1556
-24.6836,32.1948,-1.2548
-24.8018,32.2337,-1.3526
-24.9221,32.1067,-1.3602
-25.0397,32.1463,-1.4594
-25.1596,32.1868,-1.5608
-25.2768,32.0569,-1.5668
-25.3961,32.0982,-1.6695
-25.5129,32.1388,-1.7706
-25.6318,32.0143,-1.7826
-25.7481,32.0556,-1.8850
-25.8665,31.9288,-1.8967
-25.9824,31.9707,-2.0002
-26.1004,32.0136,-2.1060
-26.2157,31.8905,-2.1197
-26.3332,31.9342,-2.2269
-26.4482,31.8088,-2.2404
-26.5652,31.8530,-2.3487
-26.6819,31.8974,-2.4573
-26.7962,31.7766,-2.4747
-26.9125,31.8217,-2.5847
-27.0262,31.6986,-2.6020
-27.1421,31.7444,-2.7130
-27.2554,31.6255,-2.7337
-27.3707,31.6719,-2.8459
-27.4836,31.5507,-2.8664
-27.5984,31.4344,-2.8922
-27.7108,31.4809,-3.0038
-27.8252,31.3622,-3.0293
-27.9371,31.4094,-3.1420
-28.0510,31.2949,-3.1708
-28.1625,31.1770,-3.1970
-28.2759,31.2262,-3.3136
-28.3869,31.1124,-3.3429
-28.4999,31.1622,-3.4606
-28.6104,31.0461,-3.4898
-28.7229,30.9351,-3.5243
-28.8329,30.9849,-3.6414
-28.9449,30.8715,-3.6756
-29.0545,30.7612,-3.7105
-29.1660,30.6492,-3.7472
-29.2751,30.7005,-3.8665
-29.3862,30.5926,-3.9062
-29.4948,30.4814,-3.9432
-29.6054,30.3750,-3.9854
-29.7135,30.4277,-4.1068
-29.8236,30.3190,-4.1487
-29.9313,30.2133,-4.1912
-30.0409,30.1061,-4.2356
-30.1481,30.0017,-4.2802
-30.2573,29.8959,-4.3268
-30.3640,29.7928,-4.3735
-30.4727,29.6883,-4.4223
-30.5790,29.5866,-4.4712
-30.6871,29.4835,-4.5222
-30.7929,29.3831,-4.5733
-30.9006,29.2814,-4.6265
-31.0060,29.1824,-4.6797
-31.1132,29.0821,-4.7351
-31.2181,28.9844,-4.7905
-31.3248,28.8855,-4.8481
