    [9.9602, 49.9517, -8.5468, -26.6322],
    [9.9602, 50.0820, -8.6596, -26.6322],
    [9.9602, 50.2085, -8.7693, -26.6322],
    [9.9602, 50.3351, -8.8792, -26.6322],
    [9.9602, 50.4656, -8.9928, -26.6322],
    [9.9602, 50.5923, -9.1032, -26.6322],
    [9.9602, 50.7190, -9.2140, -26.6322],
    [9.9602, 50.8497, -9.3283, -26.6322],
    [9.9602, 50.9765, -9.4396, -26.6322],
    [9.9602, 51.1034, -9.5511, -26.6322],
    [9.9602, 51.2342, -9.6663, -26.6322],
    [9.9602, 51.3612, -9.7784, -26.6322],
    [9.9602, 51.4883, -9.8907, -26.6322],
    [9.9602, 51.6192, -10.0067, -26.6322],
    [9.9602, 51.7464, -10.1196, -26.6322],
    [9.9602, 51.8736, -10.2328, -26.6322],
    [9.9602, 52.0048, -10.3496, -26.6322],
    [9.9602, 52.1321, -10.4633, -26.6322],
    [9.9602, 52.2595, -10.5772, -26.6322],
    [9.9602, 52.3908, -10.6949, -26.6322],
    [9.9602, 52.5183, -10.8094, -26.6322],
    [9.9602, 52.6459, -10.9242, -26.6322],
    [9.9602, 52.7774, -11.0427, -26.6322],
    [9.9602, 52.9051, -11.1581, -26.6322],
    [9.9602, 53.0328, -11.2737, -26.6322],
    [9.9602, 53.1645, -11.3931, -26.6322],
    [9.9602, 53.2924, -11.5093, -26.6322],
    [9.9602, 53.4203, -11.6257, -26.6322],
    [9.9602, 53.5522, -11.7459, -26.6322],
    [9.9602, 53.6803, -11.8630, -26.6322],
    [9.9602, 53.8084, -11.9802, -26.6322],
    [9.9602, 53.9404, -12.1014, -26.6322],
    [9.9602, 54.0687, -12.2192, -26.6322],
    [9.9602, 54.1970, -12.3374, -26.6322],
    [9.9602, 54.3293, -12.4594, -26.6322],
    [9.9602, 54.4577, -12.5781, -26.6322],
    [9.9602, 54.5863, -12.6971, -26.6322],
    [9.9602, 54.7187, -12.8200, -26.6322],
    [9.9602, 54.8474, -12.9396, -26.6322],
    [9.9602, 54.9761, -13.0594, -26.6322],
    [9.9602, 55.1088, -13.1832, -26.6322],
    [9.9602, 55.2377, -13.3037, -26.6322],
    [9.9602, 55.3666, -13.4244, -26.6322],
    [9.9602, 55.4995, -13.5491, -26.6322],
    [9.9602, 55.6286, -13.6705, -26.6322],
    [9.9602, 55.7578, -13.7921, -26.6322],
    [9.9602, 55.8909, -13.9177, -26.6322],
    [9.9602, 56.0202, -14.0399, -26.6322],
    [9.9602, 56.1496, -14.1625, -26.6322],
    [9.9602, 56.2829, -14.2890, -26.6322],
    [9.9602, 56.4125, -14.4121, -26.6322],
    [9.9602, 56.5421, -14.5356, -26.6322],
    [9.9602, 56.6757, -14.6630, -26.6322],
    [9.9602, 56.8054, -14.7871, -26.6322],
    [9.9602, 56.9353, -14.9114, -26.6322],
    [9.9602, 57.0691, -15.0398, -26.6322],
    [9.9602, 57.1991, -15.1648, -26.6322],
