q1_deg,q2_deg,q3_deg,q4_deg
9.2625,-14.4436,16.7569,-87.3317
9.2624,-14.4433,16.7566,-87.3079
9.3725,-14.4209,16.7289,-87.3128
9.3725,-14.4208,16.7288,-87.2742
9.4803,-14.3123,16.7298,-87.2592
9.4803,-14.3120,16.7294,-87.2349
9.5902,-14.2009,16.7298,-87.2169
9.5902,-14.2006,16.7294,-87.1926
9.6979,-14.0911,16.7291,-87.1748
9.6979,-14.0909,16.7288,-87.1510
9.8077,-13.9787,16.7278,-87.1325
9.8076,-13.9784,16.7275,-87.1082
9.9152,-13.8680,16.7259,-87.0900
9.9152,-13.8677,16.7255,-87.0662
10.0248,-13.7546,16.7232,-87.0472
10.0248,-13.7543,16.7229,-87.0230
10.1322,-13.6429,16.7200,-87.0043
10.1322,-13.6426,16.7197,-86.9806
10.2417,-13.5285,16.7160,-86.9612
10.2417,-13.5282,16.7157,-86.9370
10.3489,-13.4158,16.7115,-86.9179
10.3489,-13.4156,16.7112,-86.8942
10.4583,-13.3005,16.7062,-86.8743
10.4582,-13.3002,16.7059,-86.8502
10.5654,-13.1869,16.7004,-86.8307
10.5653,-13.1866,16.7000,-86.8070
10.6745,-13.0706,16.6938,-86.7867
10.6745,-13.0703,16.6934,-86.7626
10.6745,-12.9809,16.7179,-86.7412
10.6745,-12.9808,16.7178,-86.7572
10.7815,-12.8645,16.7111,-86.7294
10.7814,-12.8642,16.7108,-86.7073
10.8905,-12.7487,16.7024,-86.6868
10.8905,-12.7485,16.7021,-86.6623
10.9973,-12.6312,16.6941,-86.6416
10.9973,-12.6310,16.6938,-86.6181
11.1061,-12.5145,16.6840,-86.5975
11.1061,-12.5143,16.6837,-86.5729
11.1061,-12.4218,16.7071,-86.5501
11.1061,-12.4217,16.7069,-86.5673
11.2128,-12.3051,16.6968,-86.5387
11.2127,-12.3048,16.6965,-86.5163
11.3215,-12.1854,16.6856,-86.4946
11.3214,-12.1852,16.6853,-86.4702
11.4280,-12.0676,16.6739,-86.4492
11.4279,-12.0674,16.6736,-86.4253
11.5365,-11.9470,16.6614,-86.4035
11.5364,-11.9468,16.6610,-86.3791
11.5364,-11.8549,16.6823,-86.3559
11.5364,-11.8548,16.6821,-86.3736
11.6428,-11.7342,16.6696,-86.3432
11.6428,-11.7340,16.6692,-86.3212
11.7512,-11.6143,16.6549,-86.2992
11.7511,-11.6141,16.6546,-86.2744
11.7511,-11.5196,16.6753,-86.2502
11.7511,-11.5195,16.6751,-86.2687
11.8573,-11.3996,16.6605,-86.2381
11.8573,-11.3994,16.6602,-86.2157
11.9655,-11.2768,16.6447,-86.1928
11.9655,-11.2765,16.6443,-86.1683
11.9655,-11.1831,16.6637,-86.1441
11.9655,-11.1830,16.6635,-86.1628
12.0715,-11.0602,16.6477,-86.1310
12.0715,-11.0600,16.6473,-86.1090
12.0715,-10.9660,16.6660,-86.0841
12.0715,-10.9659,16.6658,-86.1031
12.1795,-10.8419,16.6483,-86.0710
12.1795,-10.8416,16.6480,-86.0480
12.2853,-10.7196,16.6301,-86.0252
12.2853,-10.7194,16.6298,-86.0008
12.2853,-10.6229,16.6479,-85.9753
12.2853,-10.6227,16.6477,-85.9951
12.3932,-10.4995,16.6282,-85.9629
12.3931,-10.4993,16.6278,-85.9395
12.3931,-10.4022,16.6452,-85.9135
12.3931,-10.4021,16.6451,-85.9336
12.4988,-10.2787,16.6253,-85.9009
12.4988,-10.2785,16.6249,-85.8784
12.4988,-10.1810,16.6417,-85.8520
12.4988,-10.1808,16.6415,-85.8724
12.6065,-10.0563,16.6200,-85.8394
12.6064,-10.0560,16.6197,-85.8159
12.6064,-9.9580,16.6357,-85.7894
12.6064,-9.9579,16.6356,-85.8101
12.7120,-9.8332,16.6138,-85.7767
