    [1.6399, 23.3679, 10.6615, -0.3602],
    [1.6399, 23.3679, 10.6614, -0.3602],
    [1.7830, 23.5570, 10.5602, -0.3602],
    [1.7830, 23.5571, 10.5597, -0.3602],
    [1.9290, 23.5599, 10.5530, -0.3602],
    [1.9290, 23.5601, 10.5528, -0.3602],
    [2.0721, 23.5630, 10.5457, -0.3602],
    [2.0720, 23.5632, 10.5455, -0.3602],
    [2.2180, 23.5664, 10.5377, -0.3602],
    [2.2179, 23.5665, 10.5375, -0.3602],
    [2.3610, 23.5700, 10.5294, -0.3602],
    [2.3610, 23.5701, 10.5291, -0.3602],
    [2.5068, 23.5738, 10.5203, -0.3602],
    [2.5068, 23.5739, 10.5200, -0.3602],
    [2.6498, 23.5778, 10.5109, -0.3602],
    [2.6497, 23.5779, 10.5106, -0.3602],
    [2.7955, 23.5821, 10.5007, -0.3602],
    [2.7955, 23.5822, 10.5005, -0.3602],
    [2.9384, 23.7694, 10.3964, -0.3602],
    [2.9384, 23.7696, 10.3959, -0.3602],
    [3.0841, 23.7742, 10.3849, -0.3602],
    [3.0841, 23.7743, 10.3847, -0.3602],
    [3.2269, 23.7791, 10.3734, -0.3602],
    [3.2269, 23.7792, 10.3731, -0.3602],
    [3.3725, 23.7843, 10.3611, -0.3602],
    [3.3725, 23.7844, 10.3608, -0.3602],
    [3.5153, 23.7896, 10.3485, -0.3602],
    [3.5153, 23.7897, 10.3482, -0.3602],
    [3.6608, 23.9818, 10.2389, -0.3602],
    [3.6608, 23.9819, 10.2384, -0.3602],
    [3.8034, 23.9876, 10.2250, -0.3602],
    [3.8034, 23.9877, 10.2247, -0.3602],
    [3.9489, 23.9937, 10.2106, -0.3602],
    [3.9489, 23.9938, 10.2103, -0.3602],
    [4.0914, 23.9999, 10.1959, -0.3602],
    [4.0914, 24.0000, 10.1956, -0.3602],
    [4.2367, 24.0064, 10.1803, -0.3602],
    [4.2367, 24.0065, 10.1801, -0.3602],
    [4.3792, 24.1959, 10.0698, -0.3602],
    [4.3792, 24.1960, 10.0693, -0.3602],
    [4.5244, 24.2029, 10.0529, -0.3602],
    [4.5244, 24.2030, 10.0527, -0.3602],
    [4.6667, 24.2100, 10.0361, -0.3602],
    [4.6667, 24.2101, 10.0359, -0.3602],
    [4.8118, 24.2174, 10.0185, -0.3602],
    [4.8118, 24.2175, 10.0182, -0.3602],
    [4.9540, 24.4114, 9.9034, -0.3602],
    [4.9540, 24.4115, 9.9029, -0.3602],
    [5.0990, 24.4193, 9.8844, -0.3602],
    [5.0990, 24.4194, 9.8842, -0.3602],
    [5.2411, 24.4272, 9.8655, -0.3602],
    [5.2411, 24.4273, 9.8653, -0.3602],
    [5.3859, 24.6184, 9.7500, -0.3602],
    [5.3859, 24.6185, 9.7494, -0.3602],
    [5.5279, 24.6267, 9.7298, -0.3602],
    [5.5279, 24.6268, 9.7295, -0.3602],
    [5.6726, 24.6355, 9.7089, -0.3602],
    [5.6726, 24.6356, 9.7086, -0.3602],
    [5.8144, 24.8307, 9.5897, -0.3602],
    [5.8144, 24.8309, 9.5892, -0.3602],
    [5.9590, 24.8399, 9.5675, -0.3602],
    [5.9589, 24.8400, 9.5672, -0.3602],
    [6.1006, 24.8491, 9.5455, -0.3602],
    [6.1006, 24.8492, 9.5452, -0.3602],
    [6.2451, 25.0415, 9.4257, -0.3602],
    [6.2450, 25.0417, 9.4252, -0.3602],
    [6.3866, 25.0512, 9.4024, -0.3602],
    [6.3865, 25.0513, 9.4021, -0.3602],
    [6.5308, 25.0612, 9.3783, -0.3602],
    [6.5308, 25.0613, 9.3780, -0.3602],
    [6.6750, 25.2579, 9.2545, -0.3602],
    [6.6750, 25.2580, 9.2540, -0.3602],
    [6.8163, 25.2681, 9.2296, -0.3602],
    [6.8162, 25.2682, 9.2294, -0.3602],
    [6.9603, 25.4616, 9.1062, -0.3602],
