[q1_deg,q2_deg,q3_deg,q4_deg],
[-3.0367,14.0830,14.7397,93.1163],
[-2.8910,14.2542,14.6836,93.1163],
[-2.8910,14.4350,14.6138,93.1163],
[-2.8910,14.6123,14.5452,93.1163],
[-2.8910,14.7932,14.4747,93.1163],
[-2.7481,14.9654,14.4157,93.1163],
[-2.7481,15.1468,14.3439,93.1163],
[-2.7481,15.3247,14.2732,93.1163],
[-2.7481,15.5062,14.2005,93.1163],
[-2.7481,15.6844,14.1288,93.1163],
[-2.6023,15.8611,14.0655,93.1163],
[-2.6023,16.0397,13.9925,93.1163],
[-2.6023,16.2218,13.9178,93.1163],
[-2.6023,16.4005,13.8440,93.1163],
[-2.6023,16.5829,13.7682,93.1163],
[-2.6023,16.7618,13.6934,93.1163],
[-2.6023,16.9445,13.6166,93.1163],
[-2.4594,17.1191,13.5504,93.1163],
[-2.4593,17.3022,13.4723,93.1163],
[-2.4593,17.4816,13.3954,93.1163],
[-2.4593,17.6648,13.3165,93.1163],
[-2.4593,17.8445,13.2387,93.1163],
[-2.4593,18.0280,13.1587,93.1163],
[-2.4593,18.2079,13.0799,93.1163],
[-2.4593,18.3916,12.9989,93.1163],
[-2.4593,18.5717,12.9190,93.1163],
[-2.4593,18.7556,12.8370,93.1163],
[-2.4593,18.9361,12.7561,93.1163],
[-2.4593,19.1202,12.6731,93.1163],
[-2.4593,19.3008,12.5911,93.1163],
[-2.4593,19.4852,12.5071,93.1163],
[-2.4593,19.6660,12.4241,93.1163],
[-2.4593,19.8506,12.3390,93.1163],
[-2.4593,20.0316,12.2551,93.1163],
[-2.4593,20.2164,12.1690,93.1163],
[-2.4593,20.3977,12.0840,93.1163],
[-2.4593,20.5827,11.9968,93.1163],
[-2.4593,20.7642,11.9109,93.1163],
[-2.4593,20.9493,11.8227,93.1163],
[-2.4593,21.1310,11.7357,93.1163],
[-2.4593,21.3164,11.6465,93.1163],
[-2.4593,21.4983,11.5585,93.1163],
[-2.4593,21.6839,11.4683,93.1163],
[-2.4593,21.8659,11.3793,93.1163],
[-2.4593,22.0517,11.2881,93.1163],
[-2.4593,22.2339,11.1981,93.1163],
[-2.4593,22.4199,11.1058,93.1163],
[-2.4593,22.6023,11.0148,93.1163],
[-2.6023,22.7923,10.9125,93.1163],
[-2.6023,22.9750,10.8203,93.1163],
[-2.6023,23.1613,10.7260,93.1163],
[-2.6023,23.3441,10.6330,93.1163],
[-2.6023,23.5305,10.5376,93.1163],
[-2.6023,23.7135,10.4437,93.1163],
[-2.7481,23.9042,10.3376,93.1163],
[-2.7481,24.0874,10.2423,93.1163],
[-2.7481,24.2742,10.1450,93.1163],
[-2.7481,24.4574,10.0490,93.1163],
[-2.7481,24.6444,9.9506,93.1163],
[-2.8910,24.8319,9.8436,93.1163],
[-2.8910,25.0191,9.7439,93.1163],
[-2.8910,25.2026,9.6460,93.1163],
[-2.8910,25.3899,9.5456,93.1163],
[-2.8910,25.5736,9.4466,93.1163],
[-3.0367,25.7654,9.3344,93.1163],
[-3.0367,25.9493,9.2342,93.1163],
[-3.0367,26.1369,9.1317,93.1163],
[-3.1795,26.3253,9.0197,93.1163],
[-3.1795,26.5131,8.9160,93.1163],
[-3.1795,26.6971,8.8141,93.1163],
[-3.1795,26.8849,8.7096,93.1163],
[-3.3252,27.0739,8.5948,93.1163],
[-3.3251,27.2619,8.4891,93.1163],
[-3.3251,27.4463,8.3852,93.1163],
[-3.4679,27.6391,8.2666,93.1163],
[-3.4679,27.8237,8.1614,93.1163],
[-3.4679,28.0119,8.0539,93.1163],
[-3.6135,28.2015,7.9351,93.1163],
