[q1_deg,q2_deg,q3_deg,q4_deg],
[-33.1868,19.3051,-1.4312,93.1163],
[-33.1867,19.1540,-1.3785,93.1163],
[-33.0844,18.9310,-1.1898,93.1163],
[-33.0842,18.7801,-1.1382,93.1163],
[-32.9837,18.5590,-0.9538,93.1163],
[-32.9836,18.4085,-0.9033,93.1163],
[-32.8808,18.1862,-0.7178,93.1163],
[-32.7796,17.9626,-0.5353,93.1163],
[-32.7795,17.8155,-0.4873,93.1163],
[-32.6762,17.5909,-0.3034,93.1163],
[-32.6761,17.4441,-0.2565,93.1163],
[-32.5746,17.2213,-0.0769,93.1163],
[-32.4708,17.0002,0.1031,93.1163],
[-32.4706,16.8510,0.1494,93.1163],
[-32.3687,16.6317,0.3254,93.1163],
[-32.2643,16.4083,0.5037,93.1163],
[-32.2642,16.2624,0.5475,93.1163],
[-32.1618,16.0408,0.7219,93.1163],
[-32.0570,15.8209,0.8966,93.1163],
[-32.0569,15.6725,0.9398,93.1163],
[-31.9540,15.4545,1.1106,93.1163],
[-31.8487,15.2323,1.2837,93.1163],
[-31.7452,15.0147,1.4522,93.1163],
[-31.7451,14.8670,1.4933,93.1163],
[-31.6394,14.6483,1.6631,93.1163],
[-31.5355,14.4284,1.8299,93.1163],
[-31.4292,14.2103,1.9974,93.1163],
[-31.3248,13.9909,2.1621,93.1163],
[-31.3247,13.8468,2.1997,93.1163],
[-31.2181,13.6264,2.3657,93.1163],
[-31.1132,13.4106,2.5271,93.1163],
[-31.0060,13.1907,2.6907,93.1163],
[-30.9006,12.9753,2.8500,93.1163],
[-30.7929,12.7560,3.0116,93.1163],
[-30.6871,12.5412,3.1689,93.1163],
[-30.5790,12.3223,3.3283,93.1163],
[-30.4727,12.1081,3.4836,93.1163],
[-30.3640,11.8898,3.6410,93.1163],
[-30.2573,11.6760,3.7943,93.1163],
[-30.1481,11.4582,3.9496,93.1163],
[-30.0409,11.2450,4.1008,93.1163],
[-29.9313,11.1732,4.2220,93.1163],
[-29.8236,10.9575,4.3726,93.1163],
[-29.7135,10.7436,4.5237,93.1163],
[-29.6054,10.5285,4.6720,93.1163],
[-29.4948,10.3150,4.8210,93.1163],
[-29.3862,10.2455,4.9373,93.1163],
[-29.2751,10.0297,5.0857,93.1163],
[-29.1660,9.8183,5.2298,93.1163],
[-29.0545,9.6031,5.3759,93.1163],
[-28.9449,9.5342,5.4902,93.1163],
[-28.8329,9.3222,5.6344,93.1163],
[-28.7229,9.1090,5.7756,93.1163],
[-28.6104,9.0394,5.8907,93.1163],
[-28.4999,8.8294,6.0301,93.1163],
[-28.3869,8.6156,6.1710,93.1163],
[-28.2759,8.5479,6.2823,93.1163],
[-28.1625,8.3373,6.4215,93.1163],
[-28.0510,8.1256,6.5576,93.1163],
[-27.9371,8.0571,6.6697,93.1163],
[-27.8252,7.8486,6.8040,93.1163],
[-27.7108,7.7805,6.9151,93.1163],
[-27.5984,7.5696,7.0485,93.1163],
[-27.4836,7.3606,7.1822,93.1163],
[-27.3707,7.2944,7.2896,93.1163],
[-27.2554,7.0830,7.4226,93.1163],
[-27.1421,7.0173,7.5290,93.1163],
[-27.0262,6.8091,7.6600,93.1163],
[-26.9125,6.7438,7.7654,93.1163],
[-26.7962,6.5333,7.8953,93.1163],
[-26.6819,6.4684,7.9997,93.1163],
[-26.5652,6.2612,8.1277,93.1163],
[-26.4482,6.1955,8.2332,93.1163],
[-26.3332,6.1314,8.3364,93.1163],
[-26.2158,5.9219,8.4627,93.1163],
[-26.1003,5.8583,8.5647,93.1163],
[-25.9824,5.7936,8.6684,93.1163],
[-25.8665,5.5889,8.7903,93.1163],
[-25.7481,5.5247,8.8927,93.1163],
[-25.6318,5.3176,9.0135,93.1163],
[-25.5129,5.2539,9.1150,93.1163],
[-25.3961,5.1917,9.2142,93.1163],
[-25.2768,4.9869,9.3345,93.1163],
[-25.1596,4.9251,9.4325,93.1163],
[-25.0397,4.8624,9.5322,93.1163],
[-24.9221,4.6566,9.6489,93.1163],
[-24.8018,4.5944,9.7473,93.1163],
[-24.6836,4.5337,9.8436,93.1163],
[-24.5629,4.3302,9.9598,93.1163],
[-24.4443,4.2700,10.0548,93.1163],
[-24.3231,4.2088,10.1515,93.1163],
[-24.2040,4.1491,10.2457,93.1163],
[-24.0824,3.9436,10.3598,93.1163],
[-23.9629,3.8845,10.4528,93.1163],
[-23.8408,3.8244,10.5474,93.1163],
[-23.7208,3.6236,10.6573,93.1163],
[-23.5982,3.5640,10.7506,93.1163],
[-23.4778,3.5058,10.8419,93.1163],
[-23.3548,3.4468,10.9344,93.1163],
[-23.2340,3.3893,11.0247,93.1163],
[-23.1105,3.1855,11.1337,93.1163],
[-22.9892,3.1285,11.2227,93.1163],
[-22.8653,3.0706,11.3132,93.1163],
[-22.7435,3.0141,11.4014,93.1163],
[-22.6192,2.9568,11.4910,93.1163],
[-22.4970,2.9010,11.5782,93.1163],
[-22.3722,2.7013,11.6833,93.1163],
[-22.2496,2.6460,11.7693,93.1163],
[-22.1243,2.5898,11.8567,93.1163],
[-22.0013,2.5350,11.9420,93.1163],
[-21.8756,2.4795,12.0284,93.1163],
[-21.7521,2.4253,12.1126,93.1163],
[-21.6260,2.3704,12.1980,93.1163],
[-21.5021,2.1704,12.2977,93.1163],
[-21.3755,2.1160,12.3818,93.1163],
[-21.2512,2.0630,12.4640,93.1163],
[-21.1241,2.0092,12.5473,93.1163],
[-20.9994,1.9567,12.6285,93.1163],
[-20.8720,1.9035,12.7108,93.1163],
[-20.7468,1.8517,12.7910,93.1163],
[-20.6189,1.7992,12.8723,93.1163],
[-20.4933,1.7480,12.9514,93.1163],
[-20.3650,1.6961,13.0317,93.1163],
[-20.2390,1.6455,13.1098,93.1163],
[-20.1103,1.5942,13.1890,93.1163],
[-19.9839,1.5443,13.2662,93.1163],
[-19.8548,1.4936,13.3443,93.1163],
[-19.7279,1.4443,13.4204,93.1163],
[-19.5984,1.3943,13.4976,93.1163],
[-19.4711,1.3456,13.5727,93.1163],
[-19.3412,1.2962,13.6487,93.1163],
[-19.2135,1.2482,13.7228,93.1163],
[-19.0832,1.1995,13.7979,93.1163],
[-18.9551,1.1520,13.8709,93.1163],
[-18.8243,1.1040,13.9449,93.1163],
[-18.6959,1.0572,14.0169,93.1163],
